contestId,index,name,type,tags,rating,points,solvedCount
2128,E1,Submedians (Easy Version),PROGRAMMING,"['binary search', 'data structures', 'dp', 'greedy', 'math']",1900.0,1750.0,5249
2128,D,Sum of LDS,PROGRAMMING,"['brute force', 'combinatorics', 'dp', 'greedy', 'math']",1600.0,1750.0,10151
2128,C,Leftmost Below,PROGRAMMING,"['greedy', 'math']",1200.0,1250.0,17841
2128,B,Deque Process,PROGRAMMING,"['constructive algorithms', 'greedy', 'sortings', 'two pointers']",1100.0,1000.0,19109
2128,A,Recycling Center,PROGRAMMING,"['greedy', 'sortings']",800.0,500.0,26013
2127,H,23 Rises Again,PROGRAMMING,"['brute force', 'dfs and similar', 'dp', 'flows', 'graph matchings', 'graphs', 'greedy', 'implementation', 'probabilities', 'trees']",3100.0,4000.0,399
2127,G2,Inter Active (Hard Version),PROGRAMMING,"['binary search', 'bitmasks', 'constructive algorithms', 'graphs', 'implementation', 'interactive', 'math', 'probabilities']",3500.0,2750.0,81
2127,G1,Inter Active (Easy Version),PROGRAMMING,"['binary search', 'constructive algorithms', 'interactive', 'probabilities']",3400.0,2750.0,82
2127,F,Hamed and AghaBalaSar,PROGRAMMING,"['brute force', 'combinatorics', 'dp', 'math', 'probabilities']",2800.0,3000.0,737
2127,E,Ancient Tree,PROGRAMMING,"['constructive algorithms', 'data structures', 'dfs and similar', 'dsu', 'greedy', 'trees']",2100.0,2500.0,2357
2127,D,"Root was Built by Love, Broken by Destiny",PROGRAMMING,"['combinatorics', 'dfs and similar', 'graphs', 'trees']",1800.0,2000.0,5529
2127,C,Trip Shopping,PROGRAMMING,"['games', 'greedy', 'sortings']",1400.0,1500.0,10540
2127,B,"Hamiiid, Haaamid... Hamid?",PROGRAMMING,"['games', 'greedy']",1300.0,1000.0,12519
2127,A,Mix Mex Max,PROGRAMMING,"['constructive algorithms', 'greedy', 'math']",800.0,500.0,18565
2126,G2,Big Wins!  (hard version),PROGRAMMING,"['binary search', 'data structures', 'divide and conquer', 'dsu', 'trees', 'two pointers']",2400.0,,942
2126,G1,Big Wins! (easy version),PROGRAMMING,"['binary search', 'data structures', 'dp', 'dsu', 'two pointers']",2200.0,,2025
2126,F,"1-1-1, Free Tree!",PROGRAMMING,"['brute force', 'data structures', 'dfs and similar', 'graphs', 'implementation', 'trees']",2000.0,,3905
2126,E,"G-C-D, Unlucky!",PROGRAMMING,"['math', 'number theory']",1400.0,,15373
2126,D,This Is the Last Time,PROGRAMMING,"['data structures', 'greedy', 'sortings']",1200.0,,21540
2126,C,I Will Definitely Make It,PROGRAMMING,"['greedy', 'sortings']",1100.0,,24371
2126,B,No Casino in the Mountains,PROGRAMMING,"['dp', 'greedy']",800.0,,34902
2126,A,Only One Digit,PROGRAMMING,"['brute force', 'implementation', 'math']",800.0,,46350
2125,F,Timofey and Docker,PROGRAMMING,"['binary search', 'divide and conquer', 'dp']",3000.0,,360
2125,E,Sets of Complementary Sums,PROGRAMMING,"['brute force', 'combinatorics', 'dp', 'math', 'two pointers']",2500.0,,1232
2125,D,Segments Covering,PROGRAMMING,"['dp', 'math', 'probabilities']",1600.0,,8418
2125,C,Count Good Numbers,PROGRAMMING,"['bitmasks', 'combinatorics', 'math', 'number theory']",1100.0,,21181
2125,B,Left and Down,PROGRAMMING,"['math', 'number theory']",900.0,,25049
2125,A,Difficult Contest,PROGRAMMING,"['constructive algorithms', 'implementation', 'sortings', 'strings']",800.0,,26589
